"Step","hopper-v4-lsde-mbrl - reward","hopper-v4-lsde-mbrl - reward__MIN","hopper-v4-lsde-mbrl - reward__MAX"
"250","44.726363834950035","44.726363834950035","44.726363834950035"
"500","53.3870249774558","53.3870249774558","53.3870249774558"
"750","54.400056186025395","54.400056186025395","54.400056186025395"
"1000","65.66602544251414","65.66602544251414","65.66602544251414"
"1250","190.60232767889883","190.60232767889883","190.60232767889883"
"1500","196.65138252285746","196.65138252285746","196.65138252285746"
"1750","184.59692229009767","184.59692229009767","184.59692229009767"
"2000","181.329521614045","181.329521614045","181.329521614045"
"2250","206.1480990897095","206.1480990897095","206.1480990897095"
"2500","178.0276357281025","178.0276357281025","178.0276357281025"
"2750","173.89269942345337","173.89269942345337","173.89269942345337"
"3000","173.40723322033566","173.40723322033566","173.40723322033566"
"3250","201.17393809288455","201.17393809288455","201.17393809288455"
"3500","185.829059374751","185.829059374751","185.829059374751"
"3750","71.34189431814185","71.34189431814185","71.34189431814185"
"4000","992.4982577323984","992.4982577323984","992.4982577323984"
"4250","195.95255461713512","195.95255461713512","195.95255461713512"
"4500","125.82653905173899","125.82653905173899","125.82653905173899"
"4750","253.3902320591863","253.3902320591863","253.3902320591863"
"5000","232.1312540362064","232.1312540362064","232.1312540362064"
"5250","240.67315496754344","240.67315496754344","240.67315496754344"
"5500","223.6813208862847","223.6813208862847","223.6813208862847"
"5750","240.0595220565538","240.0595220565538","240.0595220565538"
"6000","267.20073929817477","267.20073929817477","267.20073929817477"
"6250","249.76279550736766","249.76279550736766","249.76279550736766"
"6500","134.20217168497032","134.20217168497032","134.20217168497032"
"6750","97.698935618378","97.698935618378","97.698935618378"
"7000","324.61942132753376","324.61942132753376","324.61942132753376"
"7250","222.54943178458151","222.54943178458151","222.54943178458151"
"7500","183.16723276407032","183.16723276407032","183.16723276407032"
"7750","189.75204431942353","189.75204431942353","189.75204431942353"
"8000","253.07741416166465","253.07741416166465","253.07741416166465"
"8250","203.63346892422123","203.63346892422123","203.63346892422123"
"8500","287.7130645673981","287.7130645673981","287.7130645673981"
"8750","94.33333878592777","94.33333878592777","94.33333878592777"
"9000","99.17778269727444","99.17778269727444","99.17778269727444"
"9250","96.59977918456804","96.59977918456804","96.59977918456804"
"9500","102.25789296595576","102.25789296595576","102.25789296595576"
"9750","301.7993261518381","301.7993261518381","301.7993261518381"
"10000","280.2801019995094","280.2801019995094","280.2801019995094"
"10250","130.48786730398461","130.48786730398461","130.48786730398461"
"10500","247.72426783656135","247.72426783656135","247.72426783656135"
"10750","278.73522378831007","278.73522378831007","278.73522378831007"
"11000","197.83299676242422","197.83299676242422","197.83299676242422"
"11250","165.48301068023568","165.48301068023568","165.48301068023568"
"11500","221.570925321118","221.570925321118","221.570925321118"
"11750","237.45545076115167","237.45545076115167","237.45545076115167"
"12000","240.33578105074514","240.33578105074514","240.33578105074514"
"12250","182.17944904554983","182.17944904554983","182.17944904554983"
"12500","227.44183592183214","227.44183592183214","227.44183592183214"
"12750","232.93244532351986","232.93244532351986","232.93244532351986"
"13000","199.8590234918969","199.8590234918969","199.8590234918969"
"13250","238.5141739101601","238.5141739101601","238.5141739101601"
"13500","225.04514733527313","225.04514733527313","225.04514733527313"
"13750","229.1914334916302","229.1914334916302","229.1914334916302"
"14000","281.74995906198035","281.74995906198035","281.74995906198035"
"14250","241.626119180699","241.626119180699","241.626119180699"
"14500","216.5165276269541","216.5165276269541","216.5165276269541"
"14750","257.8208514347695","257.8208514347695","257.8208514347695"
"15000","224.81651315755485","224.81651315755485","224.81651315755485"
"15250","253.1786245476518","253.1786245476518","253.1786245476518"
"15500","280.0548088623788","280.0548088623788","280.0548088623788"
"15750","291.3800084683015","291.3800084683015","291.3800084683015"
"16000","279.9820270046951","279.9820270046951","279.9820270046951"
"16250","184.19129217685244","184.19129217685244","184.19129217685244"
"16500","296.70570958055276","296.70570958055276","296.70570958055276"
"16750","109.83497378973593","109.83497378973593","109.83497378973593"
"17000","122.39674185000227","122.39674185000227","122.39674185000227"
"17250","311.8263708580016","311.8263708580016","311.8263708580016"
"17500","318.03329004641284","318.03329004641284","318.03329004641284"
"17750","314.2430156439764","314.2430156439764","314.2430156439764"
"18000","336.2634667520172","336.2634667520172","336.2634667520172"
"18250","317.182857781544","317.182857781544","317.182857781544"
"18500","351.7064380200767","351.7064380200767","351.7064380200767"
"18750","338.14224855665935","338.14224855665935","338.14224855665935"
"19000","344.49313063604876","344.49313063604876","344.49313063604876"
"19250","358.0504581978673","358.0504581978673","358.0504581978673"
"19500","350.5382307943379","350.5382307943379","350.5382307943379"
"19750","341.14779799427413","341.14779799427413","341.14779799427413"
"20000","324.2975221366095","324.2975221366095","324.2975221366095"
"20250","154.63402809069447","154.63402809069447","154.63402809069447"
"20500","353.6709838380034","353.6709838380034","353.6709838380034"
"20750","359.5252237986264","359.5252237986264","359.5252237986264"
"21000","346.36199786079965","346.36199786079965","346.36199786079965"
"21250","224.25703617274348","224.25703617274348","224.25703617274348"
"21500","316.4783878191981","316.4783878191981","316.4783878191981"
"21750","324.8347733291672","324.8347733291672","324.8347733291672"
"22000","328.05005270695136","328.05005270695136","328.05005270695136"
"22250","340.44380500981765","340.44380500981765","340.44380500981765"
"22500","319.0159212089","319.0159212089","319.0159212089"
"22750","141.95536512633245","141.95536512633245","141.95536512633245"
"23000","138.62103160647902","138.62103160647902","138.62103160647902"
"23250","364.21038013019694","364.21038013019694","364.21038013019694"
"23500","362.06714806417455","362.06714806417455","362.06714806417455"
"23750","345.80995475255895","345.80995475255895","345.80995475255895"
"24000","352.08299343974795","352.08299343974795","352.08299343974795"
"24250","325.5001181132737","325.5001181132737","325.5001181132737"
"24500","343.1719615585922","343.1719615585922","343.1719615585922"
"24750","403.16878799124515","403.16878799124515","403.16878799124515"
"25000","363.2985862597421","363.2985862597421","363.2985862597421"
"25250","340.0274750284563","340.0274750284563","340.0274750284563"
"25500","404.58424434548374","404.58424434548374","404.58424434548374"
"25750","359.03489737794723","359.03489737794723","359.03489737794723"
"26000","433.12526080520837","433.12526080520837","433.12526080520837"
"26250","377.96152910473955","377.96152910473955","377.96152910473955"
"26500","351.1534485272994","351.1534485272994","351.1534485272994"
"26750","228.65699994346465","228.65699994346465","228.65699994346465"
"27000","403.1418037807052","403.1418037807052","403.1418037807052"
"27250","351.92588029341374","351.92588029341374","351.92588029341374"
"27500","352.7073379923341","352.7073379923341","352.7073379923341"
"27750","360.84991751172527","360.84991751172527","360.84991751172527"
"28000","369.17846899189635","369.17846899189635","369.17846899189635"
"28250","402.5407759144823","402.5407759144823","402.5407759144823"
"28500","384.9422668440995","384.9422668440995","384.9422668440995"
"28750","151.77417272131038","151.77417272131038","151.77417272131038"
"29000","379.74504467256656","379.74504467256656","379.74504467256656"
"29250","387.19521377930573","387.19521377930573","387.19521377930573"
"29500","406.37708296475245","406.37708296475245","406.37708296475245"
"29750","411.57298106931336","411.57298106931336","411.57298106931336"
"30000","1028.8011370335275","1028.8011370335275","1028.8011370335275"
"30250","398.1719259623004","398.1719259623004","398.1719259623004"
"30500","341.3115667879805","341.3115667879805","341.3115667879805"
"30750","301.75368775625947","301.75368775625947","301.75368775625947"
"31000","1013.0407838267827","1013.0407838267827","1013.0407838267827"
"31250","1017.5335679304209","1017.5335679304209","1017.5335679304209"
"31500","365.2502732505523","365.2502732505523","365.2502732505523"
"31750","1026.9982973956207","1026.9982973956207","1026.9982973956207"
"32000","219.64082842182572","219.64082842182572","219.64082842182572"
"32250","226.87300304225892","226.87300304225892","226.87300304225892"
"32500","1018.3999210936603","1018.3999210936603","1018.3999210936603"
"32750","1023.7497552019071","1023.7497552019071","1023.7497552019071"
"33000","379.73909825631546","379.73909825631546","379.73909825631546"
"33250","335.1137708104904","335.1137708104904","335.1137708104904"
"33500","355.7186749420826","355.7186749420826","355.7186749420826"
"33750","1020.3734615688622","1020.3734615688622","1020.3734615688622"
"34000","343.63027583830285","343.63027583830285","343.63027583830285"
"34250","269.68537911704595","269.68537911704595","269.68537911704595"
"34500","1032.6595816006425","1032.6595816006425","1032.6595816006425"
"34750","267.76179861462936","267.76179861462936","267.76179861462936"
"35000","783.9838097490151","783.9838097490151","783.9838097490151"
"35250","775.6968190308518","775.6968190308518","775.6968190308518"
"35500","319.54763815991055","319.54763815991055","319.54763815991055"
"35750","394.9724537397123","394.9724537397123","394.9724537397123"
"36000","292.8031927271974","292.8031927271974","292.8031927271974"
