"Step","5-step-hopper - reward","5-step-hopper - reward__MIN","5-step-hopper - reward__MAX"
"250","47.084764931675195","47.084764931675195","47.084764931675195"
"500","54.71973472848353","54.71973472848353","54.71973472848353"
"750","59.719378157544256","59.719378157544256","59.719378157544256"
"1000","23.55035605932597","23.55035605932597","23.55035605932597"
"1250","196.82849722706416","196.82849722706416","196.82849722706416"
"1500","185.19668827987186","185.19668827987186","185.19668827987186"
"1750","187.78415394945043","187.78415394945043","187.78415394945043"
"2000","184.01779461804642","184.01779461804642","184.01779461804642"
"2250","181.71234929864292","181.71234929864292","181.71234929864292"
"2500","227.10433136989548","227.10433136989548","227.10433136989548"
"2750","32.05651859145575","32.05651859145575","32.05651859145575"
"3000","885.4075468465525","885.4075468465525","885.4075468465525"
"3250","30.38958100799858","30.38958100799858","30.38958100799858"
"3500","213.8268432760124","213.8268432760124","213.8268432760124"
"3750","71.449163543231","71.449163543231","71.449163543231"
"4000","201.70212543930566","201.70212543930566","201.70212543930566"
"4250","214.86945999281357","214.86945999281357","214.86945999281357"
"4500","217.49228090246874","217.49228090246874","217.49228090246874"
"4750","286.03477709300245","286.03477709300245","286.03477709300245"
"5000","25.6110489676194","25.6110489676194","25.6110489676194"
"5250","1040.133476774835","1040.133476774835","1040.133476774835"
"5500","278.4342491936378","278.4342491936378","278.4342491936378"
"5750","1053.33940843395","1053.33940843395","1053.33940843395"
"6000","1020.1553619864878","1020.1553619864878","1020.1553619864878"
"6250","212.39973044969597","212.39973044969597","212.39973044969597"
"6500","359.4567213754252","359.4567213754252","359.4567213754252"
"6750","245.36116256923577","245.36116256923577","245.36116256923577"
"7000","140.23493733732042","140.23493733732042","140.23493733732042"
"7250","229.2148640503686","229.2148640503686","229.2148640503686"
"7500","230.7004917876679","230.7004917876679","230.7004917876679"
"7750","209.32906444880587","209.32906444880587","209.32906444880587"
"8000","206.01883010114298","206.01883010114298","206.01883010114298"
"8250","217.43808538970995","217.43808538970995","217.43808538970995"
"8500","234.1470658297307","234.1470658297307","234.1470658297307"
"8750","1014.1847478204453","1014.1847478204453","1014.1847478204453"
"9000","1012.2459284753139","1012.2459284753139","1012.2459284753139"
"9250","1023.1485057848361","1023.1485057848361","1023.1485057848361"
"9500","1015.920231546816","1015.920231546816","1015.920231546816"
"9750","1007.2450927596923","1007.2450927596923","1007.2450927596923"
"10000","1005.0378633256315","1005.0378633256315","1005.0378633256315"
"10250","1003.0379272569029","1003.0379272569029","1003.0379272569029"
"10500","993.0144136440696","993.0144136440696","993.0144136440696"
"10750","1003.986462459062","1003.986462459062","1003.986462459062"
"11000","1016.5146633989008","1016.5146633989008","1016.5146633989008"
"11250","1049.0268099990076","1049.0268099990076","1049.0268099990076"
"11500","493.30648939107147","493.30648939107147","493.30648939107147"
"11750","212.95561422660515","212.95561422660515","212.95561422660515"
"12000","319.64908148121185","319.64908148121185","319.64908148121185"
"12250","282.18623448788264","282.18623448788264","282.18623448788264"
"12500","1022.3683521910895","1022.3683521910895","1022.3683521910895"
"12750","766.9226102436365","766.9226102436365","766.9226102436365"
"13000","549.540876221051","549.540876221051","549.540876221051"
"13250","400.22939452102577","400.22939452102577","400.22939452102577"
"13500","281.9559024667609","281.9559024667609","281.9559024667609"
"13750","488.1252825998126","488.1252825998126","488.1252825998126"
"14000","1036.9072010500836","1036.9072010500836","1036.9072010500836"
"14250","236.44694497934145","236.44694497934145","236.44694497934145"
"14500","641.3186792715094","641.3186792715094","641.3186792715094"
"14750","330.6343797570449","330.6343797570449","330.6343797570449"
"15000","1030.895513508906","1030.895513508906","1030.895513508906"
"15250","1030.3016509257038","1030.3016509257038","1030.3016509257038"
"15500","1036.3935428096668","1036.3935428096668","1036.3935428096668"
"15750","1046.2754098704527","1046.2754098704527","1046.2754098704527"
"16000","1042.2023346095664","1042.2023346095664","1042.2023346095664"
"16250","1021.8085025865576","1021.8085025865576","1021.8085025865576"
"16500","1035.1052163377042","1035.1052163377042","1035.1052163377042"
"16750","1056.883496554518","1056.883496554518","1056.883496554518"
"17000","523.1496746846221","523.1496746846221","523.1496746846221"
"17250","1056.436962355719","1056.436962355719","1056.436962355719"
"17500","1063.6943884061232","1063.6943884061232","1063.6943884061232"
"17750","395.64237180111365","395.64237180111365","395.64237180111365"
"18000","1058.7431450356942","1058.7431450356942","1058.7431450356942"
"18250","1052.740096055522","1052.740096055522","1052.740096055522"
"18500","1060.3616569840851","1060.3616569840851","1060.3616569840851"
"18750","333.04094032856614","333.04094032856614","333.04094032856614"
"19000","1055.4807279297336","1055.4807279297336","1055.4807279297336"
"19250","986.1769892110815","986.1769892110815","986.1769892110815"
"19500","1047.5407564397285","1047.5407564397285","1047.5407564397285"
"19750","1056.169054934012","1056.169054934012","1056.169054934012"
"20000","1053.2204618134742","1053.2204618134742","1053.2204618134742"
"20250","1049.7237843422668","1049.7237843422668","1049.7237843422668"
"20500","1053.3433876164486","1053.3433876164486","1053.3433876164486"
"20750","1049.384903698455","1049.384903698455","1049.384903698455"
"21000","410.10255229359996","410.10255229359996","410.10255229359996"
"21250","1057.8186165524342","1057.8186165524342","1057.8186165524342"
"21500","1049.93119699348","1049.93119699348","1049.93119699348"
"21750","1046.3211613885712","1046.3211613885712","1046.3211613885712"
"22000","374.6402325560124","374.6402325560124","374.6402325560124"
"22250","376.9376524943435","376.9376524943435","376.9376524943435"
"22500","393.53117984330765","393.53117984330765","393.53117984330765"
"22750","868.3483210810251","868.3483210810251","868.3483210810251"
"23000","554.8804222394386","554.8804222394386","554.8804222394386"
"23250","777.2597528536405","777.2597528536405","777.2597528536405"
"23500","1055.1022413159492","1055.1022413159492","1055.1022413159492"
"23750","312.88160388467503","312.88160388467503","312.88160388467503"
"24000","409.68169632684845","409.68169632684845","409.68169632684845"
"24250","383.72413109006584","383.72413109006584","383.72413109006584"
"24500","339.0335643135572","339.0335643135572","339.0335643135572"
"24750","1054.0803548837612","1054.0803548837612","1054.0803548837612"
"25000","1052.3623969259793","1052.3623969259793","1052.3623969259793"
"25250","1045.2680260216466","1045.2680260216466","1045.2680260216466"
"25500","467.209392490733","467.209392490733","467.209392490733"
"25750","1043.3010160483416","1043.3010160483416","1043.3010160483416"
"26000","415.4208652765405","415.4208652765405","415.4208652765405"
"26250","1051.208098667263","1051.208098667263","1051.208098667263"
"26500","408.9761506694311","408.9761506694311","408.9761506694311"
"26750","393.2100757333237","393.2100757333237","393.2100757333237"
"27000","371.2124952358205","371.2124952358205","371.2124952358205"
"27250","353.5881828717462","353.5881828717462","353.5881828717462"
"27500","1035.499733402683","1035.499733402683","1035.499733402683"
"27750","479.87053801210664","479.87053801210664","479.87053801210664"
"28000","236.48987449782496","236.48987449782496","236.48987449782496"
"28250","1050.6647249235793","1050.6647249235793","1050.6647249235793"
"28500","1052.6036420687017","1052.6036420687017","1052.6036420687017"
"28750","1051.6797261785218","1051.6797261785218","1051.6797261785218"
"29000","499.3876145135395","499.3876145135395","499.3876145135395"
"29250","1059.875736924143","1059.875736924143","1059.875736924143"
"29500","341.8942811731342","341.8942811731342","341.8942811731342"
"29750","1057.0494241450124","1057.0494241450124","1057.0494241450124"
"30000","285.6491431652097","285.6491431652097","285.6491431652097"
"30250","288.4651009276193","288.4651009276193","288.4651009276193"
