x,y,std
250,118.39438260192621,118.39438260192621
500,99.55753065757945,99.55753065757945
750,125.2189267356583,125.2189267356583
1000,148.887938254407,148.887938254407
1250,303.6266369601483,303.6266369601483
1500,259.95273898846426,259.95273898846426
1750,276.307886087292,276.307886087292
2000,252.6553617018282,252.6553617018282
2250,272.0061313564853,272.0061313564853
2500,256.3542868141167,256.3542868141167
2750,265.2523413059173,265.2523413059173
3000,245.3606286559767,245.3606286559767
3250,288.5441612228991,288.5441612228991
3500,270.2093523961626,270.2093523961626
3750,96.83904010483874,96.83904010483874
4000,1048.582422788404,1048.582422788404
4250,231.49431270152476,231.49431270152476
4500,219.72387803427958,219.72387803427958
4750,310.8049274644404,310.8049274644404
5000,316.89707558021746,316.89707558021746
5250,353.78056968890024,353.78056968890024
5500,304.0272773162011,304.0272773162011
5750,332.4876105188566,332.4876105188566
6000,388.0337117334421,388.0337117334421
6250,342.0048434616167,342.0048434616167
6500,156.76513659685548,156.76513659685548
6750,190.8652626593606,190.8652626593606
7000,404.9380508381073,404.9380508381073
7250,336.55703420447094,336.55703420447094
7500,266.80381609833245,266.80381609833245
7750,321.0782583972237,321.0782583972237
8000,303.97047065366843,303.97047065366843
8250,272.0782085607221,272.0782085607221
8500,374.564563610377,374.564563610377
8750,206.9208711867765,206.9208711867765
9000,205.51132334659766,205.51132334659766
9250,147.69211861841916,147.69211861841916
9500,156.47882616654678,156.47882616654678
9750,381.30815081401954,381.30815081401954
10000,394.5188212582214,394.5188212582214
10250,226.94878625682014,226.94878625682014
10500,353.8999485993736,353.8999485993736
10750,319.9130529903905,319.9130529903905
11000,288.4596319842706,288.4596319842706
11250,254.0527012652496,254.0527012652496
11500,311.73631613078874,311.73631613078874
11750,334.3472778640158,334.3472778640158
12000,297.5104781556539,297.5104781556539
12250,249.6726610338549,249.6726610338549
12500,317.6718331633729,317.6718331633729
12750,283.60850888391633,283.60850888391633
13000,305.52202942378545,305.52202942378545
13250,328.42475022356547,328.42475022356547
13500,339.9455746228095,339.9455746228095
13750,276.74877141144333,276.74877141144333
14000,361.7130736950438,361.7130736950438
14250,310.08166726134755,310.08166726134755
14500,279.4454836916601,279.4454836916601
14750,290.02238610900724,290.02238610900724
15000,250.62568280855024,250.62568280855024
15250,327.7338530003484,327.7338530003484
15500,321.2673594188132,321.2673594188132
15750,353.04869205794296,353.04869205794296
16000,380.6552035515848,380.6552035515848
16250,272.08405016131,272.08405016131
16500,393.62521575101573,393.62521575101573
16750,236.56956822772202,236.56956822772202
17000,163.31777894231158,163.31777894231158
17250,342.69981995342783,342.69981995342783
17500,346.7193597189201,346.7193597189201
17750,399.17064555216257,399.17064555216257
18000,420.0320735038398,420.0320735038398
18250,388.57432908934135,388.57432908934135
18500,410.8032700684913,410.8032700684913
18750,427.0188878258549,427.0188878258549
19000,452.31102699674244,452.31102699674244
19250,393.2098778760811,393.2098778760811
19500,424.19752916736786,424.19752916736786
19750,412.97290034751876,412.97290034751876
20000,367.32832337206213,367.32832337206213
20250,278.9254645537585,278.9254645537585
20500,408.3732895217436,408.3732895217436
20750,470.2966963559346,470.2966963559346
21000,404.8033534684107,404.8033534684107
21250,295.0542068492207,295.0542068492207
21500,397.76397990854,397.76397990854
21750,411.97603071600133,411.97603071600133
22000,421.3209784622737,421.3209784622737
22250,369.7227679286676,369.7227679286676
22500,409.3553527834797,409.3553527834797
22750,189.3740271777124,189.3740271777124
23000,256.78779525560515,256.78779525560515
23250,458.49099598496764,458.49099598496764
23500,479.33611332943053,479.33611332943053
23750,437.25219464450765,437.25219464450765
24000,432.6525883269244,432.6525883269244
24250,389.6216027631251,389.6216027631251
24500,358.3999712183673,358.3999712183673
24750,446.3960537587192,446.3960537587192
25000,458.7747903925089,458.7747903925089
25250,468.25366865578445,468.25366865578445
25500,458.4021225371057,458.4021225371057
25750,451.28586106719484,451.28586106719484
26000,509.83283725230376,509.83283725230376
26250,442.2451953656043,442.2451953656043
26500,395.7420800400269,395.7420800400269
26750,297.3346665698112,297.3346665698112
27000,472.0515223966645,472.0515223966645
27250,403.6639207541519,403.6639207541519
27500,433.71156694800493,433.71156694800493
27750,404.74086501674003,404.74086501674003
28000,411.451736299075,411.451736299075
28250,505.51390125076676,505.51390125076676
28500,429.0041645311903,429.0041645311903
28750,200.54488428934854,200.54488428934854
29000,514.8682635262321,514.8682635262321
29250,439.7999025667309,439.7999025667309
29500,491.1744771777178,491.1744771777178
29750,499.3956246465753,499.3956246465753
30000,1084.2521796714093,1084.2521796714093
30250,437.0941741699282,437.0941741699282
30500,429.04060361052666,429.04060361052666
30750,329.3205507760159,329.3205507760159
31000,1075.401357962301,1075.401357962301
31250,1112.8660570986217,1112.8660570986217
31500,436.0978790111152,436.0978790111152
31750,1126.7081151263105,1126.7081151263105
32000,277.9399478896452,277.9399478896452
32250,327.0706990250252,327.0706990250252
32500,1096.1231577211365,1096.1231577211365
32750,1051.0373224115167,1051.0373224115167
33000,419.51885145578086,419.51885145578086
33250,421.8386278390776,421.8386278390776
33500,490.84768192342233,490.84768192342233
33750,1136.2528750378592,1136.2528750378592
34000,394.8889524747069,394.8889524747069
34250,338.44423302113717,338.44423302113717
34500,1109.7628934883908,1109.7628934883908
34750,367.768068553737,367.768068553737
35000,870.4560048894825,870.4560048894825
35250,870.1024165085748,870.1024165085748
35500,380.38948077794066,380.38948077794066
35750,460.23465919038676,460.23465919038676
36000,365.2248951585236,365.2248951585236
36250,414.63740835117085,414.63740835117085
36500,1113.1936772697634,1113.1936772697634
36750,386.8093764893663,386.8093764893663
37000,1083.2165288217648,1083.2165288217648
37250,1071.9997064419783,1071.9997064419783
37500,375.4595559003318,375.4595559003318
37750,570.259642198188,570.259642198188
38000,387.97143023869563,387.97143023869563
38250,386.4835048641501,386.4835048641501
38500,1084.3902713205707,1084.3902713205707
38750,459.41935699085843,459.41935699085843
39000,154.80757338331424,154.80757338331424
39250,1074.3031229477524,1074.3031229477524
39500,302.1499861241765,302.1499861241765
39750,403.41658952372126,403.41658952372126
40000,321.62801473911196,321.62801473911196
40250,433.74125089806734,433.74125089806734
40500,442.8647002524493,442.8647002524493
40750,576.8294147229811,576.8294147229811
41000,386.99537514586166,386.99537514586166
41250,312.3106581986231,312.3106581986231
41500,274.56636597531053,274.56636597531053
41750,398.42285304685,398.42285304685
42000,385.7194595049835,385.7194595049835
42250,510.0990182090194,510.0990182090194
42500,374.1647015589183,374.1647015589183
42750,414.87661933405514,414.87661933405514
43000,330.3139273017848,330.3139273017848
43250,427.2024130813537,427.2024130813537
43500,220.64048159177005,220.64048159177005
43750,252.8708414066789,252.8708414066789
44000,455.7376575377063,455.7376575377063
44250,418.6222266808919,418.6222266808919
44500,388.86978185639555,388.86978185639555
44750,282.2004204529502,282.2004204529502
45000,446.5985136416183,446.5985136416183
45250,415.79657749144565,415.79657749144565
45500,163.73026572282348,163.73026572282348
45750,372.07187984841715,372.07187984841715
46000,171.85231145308882,171.85231145308882
46250,160.09452000447027,160.09452000447027
46500,493.58267846101603,493.58267846101603
46750,376.46437237091914,376.46437237091914
47000,377.4749785019451,377.4749785019451
47250,399.9460894851221,399.9460894851221
47500,289.5570966479979,289.5570966479979
47750,363.37007686042006,363.37007686042006
48000,434.9734552985427,434.9734552985427
48250,421.1177634880301,421.1177634880301
48500,360.02165456499677,360.02165456499677
48750,355.80983697376354,355.80983697376354
49000,363.32015101451697,363.32015101451697
49250,426.57002849094613,426.57002849094613
49500,381.2964563713866,381.2964563713866
49750,357.49190537617653,357.49190537617653
50000,414.10533039815004,414.10533039815004
50250,398.9661149224264,398.9661149224264
50500,433.2984693669072,433.2984693669072
50750,459.0861084076909,459.0861084076909
51000,387.5469163239307,387.5469163239307
51250,369.3535591171675,369.3535591171675
51500,426.7744964152392,426.7744964152392
51750,379.5498955880263,379.5498955880263
52000,415.89065682985563,415.89065682985563
52250,495.9027927968039,495.9027927968039
52500,392.3577080052775,392.3577080052775
52750,430.2138348324705,430.2138348324705
53000,415.8025392936336,415.8025392936336
53250,445.91656621587515,445.91656621587515
53500,348.8310359405591,348.8310359405591
53750,418.97002232776276,418.97002232776276
54000,433.99158001460034,433.99158001460034
54250,397.0891993194632,397.0891993194632
54500,344.2196236930801,344.2196236930801
54750,358.9071904938535,358.9071904938535
55000,294.7428433930556,294.7428433930556
55250,332.30554183709717,332.30554183709717
55500,280.3837065023213,280.3837065023213
55750,366.2670206066359,366.2670206066359
56000,352.75870221258856,352.75870221258856
56250,311.5507192883769,311.5507192883769
56500,417.0788553026937,417.0788553026937
56750,325.8122572125486,325.8122572125486
57000,682.4879182972032,682.4879182972032
57250,411.115256142386,411.115256142386
57500,165.49824825391994,165.49824825391994
57750,549.9778405413808,549.9778405413808
58000,438.0760966949856,438.0760966949856
58250,386.49031848945094,386.49031848945094
58500,365.7063720824371,365.7063720824371
58750,439.2286759123999,439.2286759123999
59000,450.36708534960036,450.36708534960036
59250,459.1225223799517,459.1225223799517
59500,398.507372243551,398.507372243551
59750,442.2225095582125,442.2225095582125
60000,434.67381964363295,434.67381964363295
60250,535.1338621931427,535.1338621931427
60500,437.5004556560506,437.5004556560506
60750,356.3473946116545,356.3473946116545
61000,486.35108597494286,486.35108597494286
61250,432.8451981758155,432.8451981758155
61500,465.31150691562135,465.31150691562135
61750,551.4842890985605,551.4842890985605
62000,537.1358268914719,537.1358268914719
62250,580.212731867237,580.212731867237
62500,457.4428538060418,457.4428538060418
62750,585.2153279361137,585.2153279361137
63000,603.6432085804709,603.6432085804709
63250,437.244787137021,437.244787137021
63500,566.0363491897415,566.0363491897415
63750,547.9859049684126,547.9859049684126
64000,471.2185633947089,471.2185633947089
64250,478.95976333869453,478.95976333869453
64500,555.6934206833597,555.6934206833597
64750,562.3197467159637,562.3197467159637
65000,576.7476724162174,576.7476724162174
65250,531.5695595750733,531.5695595750733
65500,618.4577326787739,618.4577326787739
65750,782.2630872075254,782.2630872075254
66000,483.28803026671943,483.28803026671943
66250,644.7272858622026,644.7272858622026
66500,718.725649518241,718.725649518241
66750,529.2248164115003,529.2248164115003
67000,761.8129357097819,761.8129357097819
67250,545.6057029529375,545.6057029529375
67500,728.1001449645167,728.1001449645167
67750,956.4429830678849,956.4429830678849
68000,762.1175014618726,762.1175014618726
68250,679.307749734227,679.307749734227
68500,792.0819909390186,792.0819909390186
68750,987.1281762214137,987.1281762214137
69000,841.7279415423068,841.7279415423068
69250,487.3177446567652,487.3177446567652
69500,766.2621495627893,766.2621495627893
69750,340.2831697014196,340.2831697014196
70000,330.6215507967844,330.6215507967844
70250,437.0581995593194,437.0581995593194
70500,527.774346619364,527.774346619364
70750,662.4953854597131,662.4953854597131
71000,673.1248109691426,673.1248109691426
71250,775.517664953134,775.517664953134
71500,989.0777272907435,989.0777272907435
71750,805.9531519009911,805.9531519009911
72000,644.6645190633358,644.6645190633358
72250,933.5779225399983,933.5779225399983
72500,925.8363896306824,925.8363896306824
72750,612.7037508612419,612.7037508612419
73000,646.1405950290518,646.1405950290518
