x,y,std
34.0,655.7913957039732,284.5950109786321
34.25,757.9174388968628,197.08700863619296
34.5,676.4984066546393,224.07431726197993
34.75,609.9120954242928,214.75780406790304
35.0,659.2231064834772,242.76795532183758
35.25,654.4438348812254,234.61418137571195
35.5,746.4105829952967,286.3896832939977
35.75,662.8797819513087,289.39976890767406
36.0,562.6042489497271,254.97783534224502
36.25,767.9443507783116,214.42796257394846
36.5,452.40873419006067,213.9628557863899
36.75,518.9775201864906,296.81359787889886
37.0,463.4591320526217,290.50841953758857
37.25,608.7878477868471,305.7191674857505
37.5,574.843604177146,216.25140111420544
37.75,437.6731273260487,280.77053843078534
38.0,612.6659327101142,196.23054584571207
38.25,633.7140907202365,144.4380318076147
38.5,587.2859433086471,351.49726797042183
38.75,666.0050951372034,309.3448976636641
39.0,612.8602988701749,240.44492055776774
39.25,567.8403366604208,246.92992433991202
39.5,499.58959996345425,215.51721297169507
39.75,712.6849207653113,273.3657625307985
40.0,377.4916995605745,93.68498995213933
40.25,521.0238649043919,278.2209389166798
40.5,221.991226569133,232.47898474042228
40.75,538.9253118316375,218.0387373400988
41.0,469.9499522078377,280.7790437644272
41.25,277.47556820706603,204.391326857644
41.5,493.9083623864256,170.84325402649284
41.75,546.2443156002636,241.86314892592816
42.0,355.7554258320674,132.36131033328505
42.25,456.31411537416216,114.13368535212582
42.5,562.1335388806422,199.25925729842743
42.75,539.2709607036854,162.82264415205162
43.0,483.84556924520103,238.37856809880606
43.25,215.7452409927544,212.07376334898552
43.5,276.0837713821182,272.6755970721264
43.75,314.0472031078602,212.25551853045653
44.0,552.2502860064075,156.2995496200647
44.25,291.98691082088845,99.89339809220827
44.5,272.6447886261035,210.74964673197766
44.75,534.3806847919773,131.0066938043444
45.0,356.88813422137974,222.29944816016283
45.25,279.03822051242025,207.68472540540583
45.5,461.4166488965522,188.2982488995312
45.75,321.3980373909728,285.4391182230051
46.0,389.3073723181369,187.1636645758815
46.25,555.9294483214634,192.37216924499816
46.5,294.57441296833196,252.29512377523133
46.75,348.9957251480444,264.15431747805883
47.0,229.0632594641098,270.17182839439783
47.25,369.7661807202866,104.0810769167973
47.5,399.13356743659443,102.20633964368979
47.75,70.90514130952168,276.68186226361314
48.0,425.82438014103235,285.098018467369
48.25,187.02170012045306,150.9187566186695
48.5,367.5908065570558,186.89069193366836
48.75,316.06277856981575,234.75867292272886
49.0,139.05464301190594,174.8126072052682
49.25,151.49116361376454,185.28352822443293
49.5,285.92925216007797,232.05910396896618
49.75,346.2255689181123,260.1838332689008
50.0,180.2600901032836,202.2048080367567
50.25,330.9746769229162,206.00892169996095
50.5,86.6517568335437,196.587824057672
50.75,314.20026362144876,220.83288125806087
51.0,405.5048084277914,230.52375446987514
51.25,309.29761020443794,182.98299917949706
51.5,223.7776444506613,84.46614765373705
51.75,360.07525716480524,192.31901632769936
52.0,353.88686343491594,299.51922105035317
52.25,393.6582561782575,200.40674895165114
52.5,349.02055998472696,272.3884213462653
52.75,325.31233683556246,299.74522074830475
53.0,99.14305599495613,167.28001963532492
53.25,296.19984821677957,278.1526038202993
53.5,379.20655690502304,302.1697956714398
53.75,226.31478726422858,206.7215918427935
54.0,330.23192758040324,266.64934728599354
54.25,265.6950515248866,190.14044896998604
54.5,125.08637913052489,187.05290752505582
54.75,239.37487967511393,237.89111632531032
55.0,354.2497254661703,370.5285451040927
55.25,295.95402908972005,308.43893479367074
55.5,283.320401732005,271.3908437544545
55.75,514.287003159196,162.97546362791152
56.0,454.3791149030567,328.6729113941145
56.25,236.67400647016578,204.0660360212942
56.5,191.83748523623194,290.44904331233715
56.75,280.45804259179414,256.0793240469789
57.0,480.0104114505977,221.8023987190726
57.25,234.4510324252087,353.3219852002719
57.5,239.166198943004,123.89750755777231
57.75,316.93436631124763,272.3247289785127
58.0,389.01515054250575,293.89810664760984
58.25,111.87479470777072,171.1161834647915
58.5,236.1462224073639,275.2860316570601
58.75,460.2389270684933,146.34278796431283
59.0,379.4492092693243,258.89831323475056
59.25,171.4955230987761,228.02836863920646
59.5,323.48960578153293,206.25047491017963
59.75,322.55487903163663,222.86698797769543
60.0,364.8620829064029,231.6969378773829
60.25,317.1542849157418,244.425932341759
60.5,604.1441581498567,159.66052041203838
60.75,342.2892774562815,261.1433963727105
61.0,334.84276664908504,263.16558729213676
61.25,290.2848643061502,186.53557667003406
61.5,364.3183603402561,192.59341194959572
61.75,285.77829858007846,238.16712257404433
62.0,414.35665829456,387.7962811147304
62.25,300.7542542192421,274.24481863694854
62.5,317.17446421544497,293.26281323759247
62.75,240.3007786291109,194.5189512973978
63.0,313.80679545554796,194.26631332633804
63.25,250.6869387041078,214.43642580539483
63.5,429.37236492946,238.61344110456722
63.75,361.64411055252066,320.70003225680404
64.0,493.32903525759656,212.44958888443225
64.25,458.85346582875735,304.1797383929882
64.5,559.9468649522943,141.75296428075686
64.75,343.97495300973645,206.52278317975072
65.0,513.4323495720728,181.63142018431014
65.25,387.34130852622206,270.2746887324725
65.5,501.585333140905,194.22430088953698
65.75,682.2703940303305,153.0456373124475
66.0,666.940217422956,179.42619909830202
66.25,369.9261463110982,179.68514487333235
66.5,335.79600142307913,274.30075298231
66.75,474.14336256238795,122.76336631515207
67.0,435.2024942100195,164.57439024135886
67.25,706.4276723932226,184.37455634180333
67.5,387.26310962698926,195.47806776292916
67.75,313.2002399306179,203.26746306720048
68.0,776.4646160350297,161.65100316949636
68.25,411.3315730403843,170.82354762512756
68.5,326.78490716935227,139.17021135394384
68.75,638.0197297156444,249.49661242142744
69.0,603.8969475564835,327.5613117451038
69.25,650.490244626299,326.5714132261759
69.5,624.2107073687598,268.16535916228247
69.75,543.734652755273,210.74586331533516
70.0,510.2793560376769,304.6236430689346
70.25,403.90441489824633,165.1616385614602
70.5,670.5257610843206,87.62616698264853
70.75,491.2492544063418,306.27477460544725
71.0,539.7887502130066,195.4010366673786
71.25,557.7819938620529,265.5483631225448
71.5,511.2548441271544,306.7044643630989
71.75,652.8750834091119,240.821513928032
72.0,799.8247118258727,257.4789227056663
72.25,565.0460992725228,356.5213767189232
72.5,703.4881986492469,306.5110608573844
72.75,527.6888558627699,169.2950898579883
73.0,635.435597036314,110.65916376799225
73.25,752.9926452538995,287.96473919401797
73.5,700.4089413064524,262.2137557300463
73.75,744.8686560800757,321.57680548550013
74.0,789.9051031697833,164.59265222013167
74.25,669.4504091467207,257.48508944635216
74.5,836.9747546778307,253.47963491053096
74.75,855.6741631507449,231.79305647310443
75.0,819.085632723783,222.5008427014833
75.25,863.4109611322634,229.34922209526613
75.5,883.6675965552464,305.49224125665154
75.75,992.998723834456,242.84712568024742
76.0,1079.592082502618,259.1464250945521
76.25,1210.2913550736632,293.26686309406773
76.5,1172.7441041936008,266.6158297398375
76.75,1290.604233079878,232.5518588812324
77.0,1249.3077984573213,232.95565774504414
77.25,1158.6776714957998,270.2741552107434
77.5,1180.509762941234,259.3140137710712
77.75,1427.708219919198,116.16530353771749
78.0,1251.4407090699376,227.69574082296666
78.25,1212.6965839787388,160.2091588470034
78.5,1330.6941797359111,285.5593368474815
78.75,1513.7855256347539,315.09435246886136
79.0,1777.0882070625912,276.8362933579526
79.25,1640.2571075547348,240.58046042820268
79.5,1405.4770892481654,229.194142990861
79.75,1604.9130545405949,153.55408355881204
80.0,1579.1074063737424,254.30082620810919
80.25,1591.1753044342477,275.13401808813455
80.5,1427.4841868293518,194.46077672336992
80.75,1436.487757289844,226.5976871122508
81.0,1429.537226190617,206.27419836525544
81.25,1528.6425778323057,250.2822093737417
81.5,1481.5313063812027,255.19626370235702
81.75,1399.3325208442336,239.73653626679894
82.0,1447.9210954452253,374.77806056216707
82.25,1492.4691803910837,237.67592809718167
82.5,1530.1629362962137,239.3325436471584
82.75,1596.144570041117,275.40069543561725
83.0,1405.6597436923241,237.3292212382252
83.25,1309.1979000180272,310.66986140508254
83.5,1342.9129748272874,143.33802289508483
83.75,1288.6426857117615,272.155335750947
84.0,995.5143400702487,204.69324933506417
84.25,1237.9294488580729,235.41208413404382
84.5,1452.0037293449495,184.17027274281247
84.75,986.2155177279311,182.80427983179328
85.0,1434.4768117293606,291.0076506994051
85.25,1428.9513692153976,315.11085213081867
85.5,1464.272277790852,254.59656680017815
85.75,1422.3936013673028,276.8791754654466
86.0,1510.014011102068,256.6154571754668
86.25,1724.9759488722332,173.31953369516464
86.5,1590.1928715550748,187.80650945519238
86.75,1579.3918367677113,186.73909089358503
87.0,1882.4643225362233,226.31770556447756
87.25,1869.0368755558932,321.0548527424483
87.5,1901.9289165692244,217.80714218827225
87.75,2237.9306023644453,239.0510598359176
88.0,2095.6983024995147,281.1640828569879
88.25,2323.9882496119412,271.0681991114225
88.5,2118.5397140306445,232.81618919211473
88.75,2372.2238575967745,245.12648375233417
89.0,2197.976350674815,181.03389382029647
89.25,2252.0624179942156,236.66706553598556
89.5,2151.6798023611614,326.38952400534765
89.75,2346.2953362019307,300.4339544287547
90.0,2286.6781966323247,234.0640234242657
90.25,2275.831743932055,227.83955044011154
90.5,2126.6430565010464,318.344785058541
90.75,1913.2317709535382,357.4597775606229
91.0,2005.9024249673905,280.71433921275997
91.25,2005.465551709425,303.0057516720843
91.5,1765.7357048193726,299.17977715285525
91.75,1996.4498330048161,250.63238965352946
92.0,1850.7747487957258,179.28986718733947
92.25,1962.2165827713668,184.43945871504158
92.5,1633.7265860030664,275.57336315035235
92.75,1514.113446399655,279.52341170261093
93.0,1579.1410042165107,204.45361578466358
93.25,1816.5022811138922,149.08116891791542
93.5,1635.1877165931182,240.41093825105514
93.75,1577.0783441287092,381.06947386669225
94.0,1408.3164115172358,139.20438546271316
94.25,1648.1374396539402,246.6765653306946
94.5,1587.7598883039125,313.1804212177068
94.75,1524.4750636686595,250.71956215819745
95.0,1688.7537266159477,88.69980888289166
95.25,1696.9861876031464,293.81504965922295
95.5,1882.3554955813295,82.45617279443854
95.75,1881.3311811419817,269.5157568967677
96.0,1882.9689816288062,243.58470430797092
96.25,2063.7950382606396,303.9790757570329
96.5,2052.554859846961,268.1365789716091
96.75,2030.5485781876912,157.66811711989453
97.0,2178.228448305655,221.0773351934012
97.25,2083.37609420976,157.1118066291222
97.5,2245.841121593519,193.78104562402726
97.75,2182.838629832931,158.94843143565643
98.0,2567.677926483086,297.36965315727235
98.25,2700.129667318514,117.71350134643338
