"Step","splendid-night-110 - reward","splendid-night-110 - reward__MIN","splendid-night-110 - reward__MAX"
"64000","3288.3509563474418","3288.3509563474418","3288.3509563474418"
"65000","3238.9392852327715","3238.9392852327715","3238.9392852327715"
"66000","3302.444420426563","3302.444420426563","3302.444420426563"
"67000","3272.1409394483435","3272.1409394483435","3272.1409394483435"
"68000","3311.6330001816546","3311.6330001816546","3311.6330001816546"
"69000","3302.3581391967596","3302.3581391967596","3302.3581391967596"
"70000","3291.7371592258673","3291.7371592258673","3291.7371592258673"
"71000","3349.8907750855365","3349.8907750855365","3349.8907750855365"
"72000","3295.5228131468575","3295.5228131468575","3295.5228131468575"
"73000","3269.556120670034","3269.556120670034","3269.556120670034"
"74000","3271.631611811498","3271.631611811498","3271.631611811498"
"75000","3285.5059838594516","3285.5059838594516","3285.5059838594516"
"76000","3319.7814677363936","3319.7814677363936","3319.7814677363936"
"77000","3163.340056392514","3163.340056392514","3163.340056392514"
"78000","3211.028994623315","3211.028994623315","3211.028994623315"
"79000","3227.08923368861","3227.08923368861","3227.08923368861"
"80000","3349.0370431660335","3349.0370431660335","3349.0370431660335"
"81000","3262.3019266905926","3262.3019266905926","3262.3019266905926"
"82000","3174.4962119838915","3174.4962119838915","3174.4962119838915"
"83000","3025.1094947085767","3025.1094947085767","3025.1094947085767"
"84000","3273.0334084919878","3273.0334084919878","3273.0334084919878"
"85000","3257.1569849684956","3257.1569849684956","3257.1569849684956"
"86000","3311.8099032627138","3311.8099032627138","3311.8099032627138"
"87000","3257.8047872759435","3257.8047872759435","3257.8047872759435"
"88000","3273.317988581575","3273.317988581575","3273.317988581575"
"89000","3335.547810059872","3335.547810059872","3335.547810059872"
"90000","3114.248487592041","3114.248487592041","3114.248487592041"
"91000","3270.2918307951154","3270.2918307951154","3270.2918307951154"
"92000","3122.0827399243203","3122.0827399243203","3122.0827399243203"
"93000","3231.790254719983","3231.790254719983","3231.790254719983"
"94000","3220.122207592012","3220.122207592012","3220.122207592012"
"95000","3198.0639974776736","3198.0639974776736","3198.0639974776736"
"96000","2615.5152352859327","2615.5152352859327","2615.5152352859327"
"97000","2722.384267013961","2722.384267013961","2722.384267013961"
"98000","769.4004315861082","769.4004315861082","769.4004315861082"
"99000","295.68062223782533","295.68062223782533","295.68062223782533"
"100000","2030.1821239494773","2030.1821239494773","2030.1821239494773"
"101000","3148.8035161244115","3148.8035161244115","3148.8035161244115"
"102000","2714.56453331128","2714.56453331128","2714.56453331128"
"103000","2370.6879065155144","2370.6879065155144","2370.6879065155144"
"104000","1885.4937166871666","1885.4937166871666","1885.4937166871666"
"105000","3285.111761186107","3285.111761186107","3285.111761186107"
"106000","3284.7664307264645","3284.7664307264645","3284.7664307264645"
"107000","3357.2410835411883","3357.2410835411883","3357.2410835411883"
"108000","3293.6680146807603","3293.6680146807603","3293.6680146807603"
"109000","3287.4320874962136","3287.4320874962136","3287.4320874962136"
"110000","3337.1239983065207","3337.1239983065207","3337.1239983065207"
"111000","3296.5770854296293","3296.5770854296293","3296.5770854296293"
"112000","3180.2281039579425","3180.2281039579425","3180.2281039579425"
"113000","3163.034511041069","3163.034511041069","3163.034511041069"
"114000","3203.0498142722204","3203.0498142722204","3203.0498142722204"
"115000","3270.010318059932","3270.010318059932","3270.010318059932"
"116000","3172.879639127129","3172.879639127129","3172.879639127129"
"117000","3360.636529670555","3360.636529670555","3360.636529670555"
"118000","3244.1594587509285","3244.1594587509285","3244.1594587509285"
"119000","2920.685170064181","2920.685170064181","2920.685170064181"
"120000","3223.0345237759425","3223.0345237759425","3223.0345237759425"
"121000","3255.1879828697515","3255.1879828697515","3255.1879828697515"
"122000","3244.858280985713","3244.858280985713","3244.858280985713"
"123000","3187.892107680508","3187.892107680508","3187.892107680508"
"124000","1560.7017575774662","1560.7017575774662","1560.7017575774662"
"125000","1541.0182063550471","1541.0182063550471","1541.0182063550471"
"126000","3364.6464375667592","3364.6464375667592","3364.6464375667592"
"127000","3282.146002769323","3282.146002769323","3282.146002769323"
"128000","3242.5315763386134","3242.5315763386134","3242.5315763386134"
"129000","3220.1283810508226","3220.1283810508226","3220.1283810508226"
"130000","3187.4464846913006","3187.4464846913006","3187.4464846913006"
"131000","3232.5050760054296","3232.5050760054296","3232.5050760054296"
"132000","3346.9830757873005","3346.9830757873005","3346.9830757873005"
"133000","3249.4945629257268","3249.4945629257268","3249.4945629257268"
"134000","3303.186601257564","3303.186601257564","3303.186601257564"
"135000","3186.507497060458","3186.507497060458","3186.507497060458"
"136000","3266.070551330858","3266.070551330858","3266.070551330858"
"137000","3235.8893396824146","3235.8893396824146","3235.8893396824146"
"138000","3346.1081516775744","3346.1081516775744","3346.1081516775744"
"139000","3293.683360621699","3293.683360621699","3293.683360621699"
"140000","3281.4336978823135","3281.4336978823135","3281.4336978823135"
"141000","3189.490759579615","3189.490759579615","3189.490759579615"
"142000","3280.408160696622","3280.408160696622","3280.408160696622"
"143000","3298.191103923901","3298.191103923901","3298.191103923901"
"144000","3373.942140137233","3373.942140137233","3373.942140137233"
"145000","3320.0415247051383","3320.0415247051383","3320.0415247051383"
"146000","3364.578077655774","3364.578077655774","3364.578077655774"
"147000","3233.004249621786","3233.004249621786","3233.004249621786"
"148000","3339.618362564579","3339.618362564579","3339.618362564579"
"149000","3320.0660427811144","3320.0660427811144","3320.0660427811144"
"150000","3088.6401795345287","3088.6401795345287","3088.6401795345287"
"151000","3326.578335545913","3326.578335545913","3326.578335545913"
"152000","3374.7470592076897","3374.7470592076897","3374.7470592076897"
"153000","3356.35845418989","3356.35845418989","3356.35845418989"
"154000","3117.4033889033576","3117.4033889033576","3117.4033889033576"
"155000","3312.8271592913306","3312.8271592913306","3312.8271592913306"
"156000","3323.3202134544204","3323.3202134544204","3323.3202134544204"
"157000","3340.5071817398507","3340.5071817398507","3340.5071817398507"
"158000","3354.12687918782","3354.12687918782","3354.12687918782"
"159000","3300.072647608686","3300.072647608686","3300.072647608686"
"160000","3299.8931177882555","3299.8931177882555","3299.8931177882555"
"161000","3329.8913162410618","3329.8913162410618","3329.8913162410618"
"162000","3331.4607345175227","3331.4607345175227","3331.4607345175227"
"163000","3257.476567265315","3257.476567265315","3257.476567265315"
"164000","3330.6287434221517","3330.6287434221517","3330.6287434221517"
"165000","3352.8767907745414","3352.8767907745414","3352.8767907745414"
