"Step","splendid-night-110 - reward","splendid-night-110 - reward__MIN","splendid-night-110 - reward__MAX"
"1000","179.59611484033684","179.59611484033684","179.59611484033684"
"2000","226.1229080186463","226.1229080186463","226.1229080186463"
"3000","263.65165874544334","263.65165874544334","263.65165874544334"
"4000","255.13920671069525","255.13920671069525","255.13920671069525"
"5000","281.2783985867827","281.2783985867827","281.2783985867827"
"6000","1056.0434452624722","1056.0434452624722","1056.0434452624722"
"7000","805.1004131861636","805.1004131861636","805.1004131861636"
"8000","375.6768043305931","375.6768043305931","375.6768043305931"
"9000","604.0006269036797","604.0006269036797","604.0006269036797"
"10000","316.7945593946038","316.7945593946038","316.7945593946038"
"11000","437.91880979681355","437.91880979681355","437.91880979681355"
"12000","740.7313865881921","740.7313865881921","740.7313865881921"
"13000","1776.1608333895595","1776.1608333895595","1776.1608333895595"
"14000","1269.225924181115","1269.225924181115","1269.225924181115"
"15000","370.94174389029286","370.94174389029286","370.94174389029286"
"16000","1358.7671992624648","1358.7671992624648","1358.7671992624648"
"17000","798.4643295767738","798.4643295767738","798.4643295767738"
"18000","2395.00899557067","2395.00899557067","2395.00899557067"
"19000","287.9837759082312","287.9837759082312","287.9837759082312"
"20000","1627.1423879610736","1627.1423879610736","1627.1423879610736"
"21000","654.7884651327066","654.7884651327066","654.7884651327066"
"22000","1004.1433287548609","1004.1433287548609","1004.1433287548609"
"23000","1012.4825093851001","1012.4825093851001","1012.4825093851001"
"24000","950.9278196662359","950.9278196662359","950.9278196662359"
"25000","804.0800439012061","804.0800439012061","804.0800439012061"
"26000","2015.9597971285073","2015.9597971285073","2015.9597971285073"
"27000","941.7991785715027","941.7991785715027","941.7991785715027"
"28000","1165.9135793592613","1165.9135793592613","1165.9135793592613"
"29000","1091.6461745340275","1091.6461745340275","1091.6461745340275"
"30000","2657.8832238271543","2657.8832238271543","2657.8832238271543"
"31000","941.4446378407619","941.4446378407619","941.4446378407619"
"32000","3136.4776869031703","3136.4776869031703","3136.4776869031703"
"33000","1063.7898607756326","1063.7898607756326","1063.7898607756326"
"34000","2987.4362083136293","2987.4362083136293","2987.4362083136293"
"35000","3107.3140935923957","3107.3140935923957","3107.3140935923957"
"36000","3171.0511103307767","3171.0511103307767","3171.0511103307767"
"37000","3167.8258902697303","3167.8258902697303","3167.8258902697303"
"38000","3089.9318958448966","3089.9318958448966","3089.9318958448966"
"39000","3251.8118126888476","3251.8118126888476","3251.8118126888476"
"40000","3184.098010747317","3184.098010747317","3184.098010747317"
"41000","2070.186349079816","2070.186349079816","2070.186349079816"
"42000","3362.063491609287","3362.063491609287","3362.063491609287"
"43000","3264.393717283981","3264.393717283981","3264.393717283981"
"44000","3403.5873042112867","3403.5873042112867","3403.5873042112867"
"45000","3431.1900997155253","3431.1900997155253","3431.1900997155253"
"46000","3431.895334619942","3431.895334619942","3431.895334619942"
"47000","3427.2598342925016","3427.2598342925016","3427.2598342925016"
"48000","3378.38263412007","3378.38263412007","3378.38263412007"
"49000","3451.7163405629753","3451.7163405629753","3451.7163405629753"
"50000","3451.2769692534007","3451.2769692534007","3451.2769692534007"
"51000","3436.4886987553327","3436.4886987553327","3436.4886987553327"
"52000","3441.311592377775","3441.311592377775","3441.311592377775"
"53000","3467.331625028213","3467.331625028213","3467.331625028213"
"54000","3404.0253279880103","3404.0253279880103","3404.0253279880103"
"55000","3437.8808712646023","3437.8808712646023","3437.8808712646023"
"56000","3431.020913631011","3431.020913631011","3431.020913631011"
"57000","3440.607198275661","3440.607198275661","3440.607198275661"
"58000","3396.7450504144285","3396.7450504144285","3396.7450504144285"
"59000","3395.8029629657754","3395.8029629657754","3395.8029629657754"
"60000","3421.418495405268","3421.418495405268","3421.418495405268"
"61000","3430.2075098212686","3430.2075098212686","3430.2075098212686"
"62000","3468.4228809399065","3468.4228809399065","3468.4228809399065"
"63000","3268.1650635053666","3268.1650635053666","3268.1650635053666"
