Steps,Reward
0,52.234163616075975
250,74.91584163791302
500,66.3715201886317
750,98.13856133108592
1000,52.10365958724001
1250,79.22377856148071
1500,55.89328666188294
1750,74.5395127503092
2000,83.35361930269212
2250,87.59861677454347
2500,1000
2750,1000
3000,1000
3250,1000
3500,1000
3750,1000
4000,1000
4250,1000
4500,1000
4750,1000
5000,1000
5250,1000
5500,1000
5750,1000
6000,1000
6250,1000
6500,1000
6750,1000
7000,1000
7250,1000
